model_name,model_sizes,type,pulls,last_updated
deepseek-r1,"1.5b,7b,8b,14b,32b,70b,671b",General,3.8M,8 days ago
llama3.3,70b,General,930.8K,7 weeks ago
phi4,14b,General,219.4K,3 weeks ago
llama3.2,"1b,3b",General,7.7M,4 months ago
llama3.1,"8b,70b,405b",General,20.9M,2 months ago
nomic-embed-text,NA,Embedding,13.1M,11 months ago
mistral,7b,General,8.3M,6 months ago
llama3,"8b,70b",General,7.3M,8 months ago
qwen,"0.5b,1.8b,4b,7b,14b,32b,72b,110b",General,4.3M,9 months ago
gemma,"2b,7b",General,4.3M,9 months ago
qwen2,"0.5b,1.5b,7b,72b",General,4.1M,4 months ago
qwen2.5,"0.5b,1.5b,3b,7b,14b,32b,72b",General,3.4M,4 months ago
phi3,"3.8b,14b",General,2.8M,6 months ago
llama2,"7b,13b,70b",General,2.8M,13 months ago
llava,"7b,13b,34b",Vision,2.8M,12 months ago
gemma2,"2b,9b,27b",General,2.5M,6 months ago
qwen2.5-coder,"0.5b,1.5b,3b,7b,14b,32b",Code,1.7M,2 months ago
codellama,"7b,13b,34b,70b",Code,1.7M,6 months ago
tinyllama,1.1b,General,1.2M,13 months ago
mxbai-embed-large,335m,Embedding,1.2M,8 months ago
mistral-nemo,12b,General,1M,5 months ago
llama3.2-vision,"11b,90b",Vision,967.2K,2 months ago
starcoder2,"3b,7b,15b",Code,783.7K,4 months ago
snowflake-arctic-embed,"22m,33m,110m,137m,335m",Embedding,564.1K,9 months ago
mixtral,"8x7b,8x22b",General,538.3K,5 weeks ago
deepseek-coder-v2,"16b,236b",Code,499.1K,4 months ago
dolphin-mixtral,"8x7b,8x22b",General,483.3K,5 weeks ago
phi,2.7b,General,472.2K,12 months ago
codegemma,"2b,7b",Code,471.3K,6 months ago
deepseek-coder,"1.3b,6.7b,33b",Code,433.8K,13 months ago
llama2-uncensored,"7b,70b",General,430.7K,15 months ago
wizardlm2,"7b,8x22b",General,322.1K,9 months ago
dolphin-mistral,7b,General,308.8K,10 months ago
all-minilm,"22m,33m",Embedding,276.2K,8 months ago
dolphin-llama3,"8b,70b",General,274.1K,8 months ago
command-r,35b,General,268.8K,5 months ago
orca-mini,"3b,7b,13b,70b",General,266.6K,15 months ago
bge-m3,567m,Embedding,266.5K,5 months ago
yi,"6b,9b,34b",General,259.7K,8 months ago
llava-llama3,8b,Vision,252.9K,8 months ago
zephyr,"7b,141b",General,232.3K,9 months ago
phi3.5,3.8b,General,225.9K,4 months ago
codestral,22b,Code,200.5K,4 months ago
starcoder,"1b,3b,7b,15b",Code,179.9K,15 months ago
granite-code,"3b,8b,20b,34b",Code,178.3K,4 months ago
vicuna,"7b,13b,33b",General,171.6K,15 months ago
smollm,"135m,360m,1.7b",General,166K,5 months ago
wizard-vicuna-uncensored,"7b,13b,30b",General,164.6K,15 months ago
mistral-openorca,7b,General,164.4K,15 months ago
qwq,32b,General,152K,2 months ago
llama2-chinese,"7b,13b",General,145.3K,15 months ago
smollm2,"135m,360m,1.7b",General,136.4K,3 months ago
codegeex4,9b,Code,132.9K,6 months ago
openchat,7b,General,130.9K,12 months ago
aya,"8b,35b",General,129.4K,8 months ago
deepseek-v3,671b,General,126.2K,2 weeks ago
codeqwen,7b,Code,125.3K,7 months ago
nous-hermes2,"10.7b,34b",General,119.8K,13 months ago
mistral-large,123b,General,117.7K,2 months ago
command-r-plus,104b,General,116.2K,5 months ago
openhermes,NA,General,115.8K,13 months ago
stable-code,3b,Code,115.8K,10 months ago
tinydolphin,1.1b,General,114.5K,12 months ago
glm4,9b,General,114.4K,6 months ago
wizardcoder,33b,Code,113.6K,13 months ago
qwen2-math,"1.5b,7b,72b",General,112.9K,5 months ago
bakllava,7b,Vision,104.6K,13 months ago
stablelm2,"1.6b,12b",General,104.4K,8 months ago
deepseek-llm,"7b,67b",General,102.4K,13 months ago
reflection,70b,General,101.7K,4 months ago
moondream,1.8b,Vision,98.1K,8 months ago
neural-chat,7b,General,97.5K,13 months ago
llama3-gradient,"8b,70b",General,95.7K,9 months ago
wizard-math,"7b,13b,70b",General,95.5K,13 months ago
llama3-chatqa,"8b,70b",General,87.7K,8 months ago
deepseek-v2,"16b,236b",General,86.3K,7 months ago
sqlcoder,"7b,15b",Code,85.7K,12 months ago
xwinlm,"7b,13b",General,82.9K,15 months ago
minicpm-v,8b,Vision,81.6K,2 months ago
nous-hermes,"7b,13b",General,80.5K,15 months ago
dolphincoder,"7b,15b",Code,80K,9 months ago
phind-codellama,34b,Code,79.6K,13 months ago
yarn-llama2,"7b,13b",General,77.4K,15 months ago
hermes3,"3b,8b,70b,405b",General,75.3K,6 weeks ago
wizardlm,NA,General,75K,15 months ago
solar,10.7b,General,74.3K,13 months ago
starling-lm,7b,General,73.9K,10 months ago
yi-coder,"1.5b,9b",Code,71.7K,4 months ago
llava-phi3,3.8b,Vision,71.3K,8 months ago
internlm2,"1m,1.8b,7b,20b",General,69.2K,5 months ago
athene-v2,72b,General,68.5K,2 months ago
samantha-mistral,7b,General,66.6K,15 months ago
falcon,"7b,40b,180b",General,66.5K,15 months ago
mistral-small,22b,General,65.3K,4 months ago
orca2,"7b,13b",General,60.8K,14 months ago
nemotron,70b,General,59.9K,3 months ago
dolphin-phi,2.7b,General,58K,13 months ago
stable-beluga,"7b,13b,70b",General,57.9K,15 months ago
nemotron-mini,4b,General,56.8K,4 months ago
wizardlm-uncensored,13b,General,56.7K,15 months ago
llama3-groq-tool-use,"8b,70b",General,45.6K,6 months ago
granite3-dense,"2b,8b",General,44.4K,2 months ago
llama-pro,NA,General,44.4K,12 months ago
medllama2,7b,General,44.3K,15 months ago
yarn-mistral,7b,General,44.3K,15 months ago
meditron,"7b,70b",General,43.6K,14 months ago
granite3.1-dense,"2b,8b",General,43.3K,12 days ago
nexusraven,13b,General,40.6K,12 months ago
dolphin3,8b,General,38.4K,3 weeks ago
nous-hermes2-mixtral,8x7b,General,37.2K,5 weeks ago
codeup,13b,Code,36K,15 months ago
smallthinker,3b,General,35.5K,4 weeks ago
everythinglm,13b,General,35.2K,13 months ago
aya-expanse,"8b,32b",General,31.8K,3 months ago
magicoder,7b,Code,31.1K,14 months ago
falcon2,11b,General,30.8K,8 months ago
stablelm-zephyr,3b,General,30.5K,13 months ago
codebooga,34b,Code,30.2K,15 months ago
granite3-moe,"1b,3b",General,30K,2 months ago
mathstral,7b,General,29.4K,6 months ago
wizard-vicuna,13b,General,28.7K,15 months ago
bge-large,335m,Embedding,28.6K,5 months ago
mistrallite,7b,General,28.6K,15 months ago
duckdb-nsql,7b,Code,28.1K,12 months ago
reader-lm,"0.5b,1.5b",General,28K,4 months ago
marco-o1,7b,General,27.5K,8 weeks ago
solar-pro,22b,General,27K,4 months ago
megadolphin,120b,General,24.7K,12 months ago
notux,8x7b,General,23.7K,13 months ago
open-orca-platypus2,13b,General,23.1K,15 months ago
notus,7b,General,23K,13 months ago
shieldgemma,"2b,9b,27b",General,22.8K,3 months ago
falcon3,"1b,3b,7b,10b",General,22.6K,6 weeks ago
goliath,NA,General,22.6K,14 months ago
llama-guard3,"1b,8b",General,21K,3 months ago
bespoke-minicheck,7b,General,20.7K,4 months ago
nuextract,3.8b,General,19.8K,6 months ago
granite3.1-moe,"1b,3b",General,19.1K,12 days ago
opencoder,"1.5b,8b",Code,19.1K,2 months ago
firefunction-v2,70b,General,17.6K,6 months ago
dbrx,132b,General,17.6K,9 months ago
snowflake-arctic-embed2,568m,Embedding,17.5K,8 weeks ago
deepseek-v2.5,236b,General,17.1K,4 months ago
paraphrase-multilingual,278m,Embedding,16.3K,5 months ago
alfred,40b,General,14.8K,14 months ago
exaone3.5,"2.4b,7.8b,32b",General,12.5K,7 weeks ago
tulu3,"8b,70b",General,12K,5 weeks ago
granite-embedding,"30m,278m",Embedding,10K,6 weeks ago
command-r7b,7b,General,9.914K,13 days ago
olmo2,"7b,13b",General,9.233K,2 weeks ago
granite3-guardian,"2b,8b",General,6.006K,2 months ago
sailor2,"1b,8b,20b",General,5.166K,8 weeks ago
